"Tipo [Class]";"Identificador [UnityAlias]";"Orden de clasificación [Position]";"Visible [IsVisible]";"Precio/EUR/gross [ListPrices/EUR/gross]";"Precio original/EUR/gross [ManufacturerPrices/EUR/gross]";"IsManufacturerPriceRRP [IsManufacturerPriceRRP]";"IsShippingLinkVisible [IsShippingLinkVisible]";"Tipo fiscal [TaxClass]";"Unidad de referencia [RefUnit]";"Cantidad de referencia [RefAmount]";"Cantidad en el producto [RefContentAmount]";"Fabricante [Manufacturer]";"N.º de producto del fabricante [ManufacturerSKU]";"Código del producto [UPCEAN]";"Existencias [StockLevel]";"Nivel mínimo de existencias [StockLevelAlert]";"Plazo de entrega [DeliveryPeriod]";"Unidad de peso [WeightUnit]";"Peso de entrega [Weight]";"Longitud [Length]";"Altura [Height]";"Anchura [Width]";"Formas de entrega [ShippingMethods]";"Nombre/Español [Name/es]";"Título de la página/Español [Title/es]";"Descripción/Español [Description/es]";"Descripción detallada/Español [Text/es]";"Palabras clave/Español [Keywords/es]";"Funciones básicas/Español [MainCharacteristics/es]";"Producto maestro [SuperProduct]";"Variantes de atributos [SelectedVariations]";"Imagen para la vista ampliada [ImageLarge]";"Imágenes para galería/presentación [ImagesSlideShowString]";"EnergyLabelsString [EnergyLabelsString]";"EnergyLabelSourceFile [EnergyLabelSourceFile]";"_ProductDataSheet/Español [_ProductDataSheet/es]";"EnergyLabelHighestEfficiencyClass [EnergyLabelHighestEfficiencyClass]";"ProductVideoProvider/Español [ProductVideoProvider/es]";"TaxClassMapping [TaxClassMapping]";"PROCESADOR/I3 8100 [PROCESADOR/I3_8100]";"COLOR/DESERT/Español [COLOR/DESERT/es]";"COLOR/JUNGLE/Español [COLOR/JUNGLE/es]";"COLOR/GAV/Español [COLOR/GAV/es]";"COLOR/NEGRO/Español [COLOR/NEGRO/es]";"COLOR/ROSA/Español [COLOR/ROSA/es]";"COLOR/COLOR [COLOR/COLOR]";"TAMAÑO/PEQUEÑO/Español [TAMANO/PEQUENO/es]";"TAMAÑO/GRANDE/Español [TAMANO/GRANDE/es]";"TAMAÑO/TAMAÑO [TAMANO/TAMANO]"
;24900;;1;267,34;;0;1;normal;;;;KEEPOUT;;8435099525134;1;1;1;kilogram;6;;;;;"MONITOR GAMING XGM27C+ CURVO 27'' KEEPOUT";;"El monitor Gaming curvo XGM27C+ te ofrece una combinación de experiencia sin precedentes para que disfrutes de tus mejores juegos, comodidad para tus ojos y gran nitidez de imágenes. Con curvatura consigue un amplio campo de visión, con gran percepción de profundidad, para que vivas una experiencia inmersiva. Si lo tuyo es el gaming a gran nivel, con FreeSync y un tiempo de respuesta de 1ms jugarás con mayor fluidez.. ¡¡¡Descubre un producto que te llevará al límite!!!. Características:. <u>DISFRUTA MáS DE LOS VIDEOJUEGOS. </u>El monitor Gaming curvo XGM27C+ te ofrece una combinación de experiencia sin precedentes para que disfrutes de tus mejores juegos, comodidad para tus ojos y gran nitidez de imágenes. Con curvatura consigue un amplio campo de visión, con gran percepción de profundidad, para que vivas una experiencia inmersiva. Si lo tuyo es el gaming a gran nivel, con FreeSync y un tiempo de respuesta de 1ms jugarás con mayor fluidez.. La pantalla curva reduce la emisión de ondas de luz azul y minimiza el parpadeo, protegerá tus ojos para que puedas estar más tiempo jugando a tus juegos frente a la pantalla.. Tus Juegos cobrarán vida y ofrece imágenes más realistas. Mientras que su panel y su ratio de contraste 5000000:1 consiguen mejor calidad en escenas oscuras o brillantes.. Tiene un diseño gaming que juega con negros y rojo. Perfecto para tu KIT GAMER. Su diseño ofrece comodidad para tus ojos y gran nitidez de imágenes gracias a pantalla FULL HD. Conexiones del monitor: Display Port, HDMI, DVI, DC.. Especificaciones:. - 27' Panel led curvo de grado A+. - ángulo de visión H: 176 º V: 160 º. - Brillo 250cd / m2. - Contraste 5000000: 1. - Formato 16: 9. - Colores de pantalla 16,7M. - Resolución 1920x1080px. - Frecuencia 165Hz. - Tiempo de respuesta 1ms. - Freesync. - Entradas: Display Port, HDMI, DVI, DC. - VESA 100 mm.. - Adapatador AC/DC. - Voltaje: 12VDC/4A. - Consumo: < 45W. - Standby: 0.5W.";;;;;;24900_1.jpg;24900_1.jpg;;;;;;;;;;;;;;;;
;24966;;1;165,81;;0;1;normal;;;;APPLE;;1,90199E+11;1;1;1;kilogram;0,15;;;;;"APPLE AIRPODS V2 CON ESTUCHE/MICROFONO";;"Características:. <u>Sin cables. Sin líos. Como por arte de magia.</u>. Los sacas del estuche y ya funcionan con todos tus dispositivos. Te los pones y empiezan a sonar al instante. Hablas y tu voz se escucha con toda claridad. Así son los AirPods: simplicidad y tecnología unidas en unos auriculares que son pura magia.. <u>Una nueva era inalámbrica. Así de simple.</u>. Configura los AirPods con un solo toque y estarán siempre conectados.1 Sin más. Usarlos es igual de fácil porque detectan cuando los llevas puestos y detienen la reproducción cuando te los quitas. Y por supuesto se entienden igual de bien con tu iPhone, Apple Watch, iPad o Mac.. <u>Siri a un toque.</u>. Hablar con tu asistente personal es muy fácil. Toca dos veces cualquiera de los auriculares y pídele lo que te apetezca sin sacar el iPhone del bolsillo.. <u>Mira dónde hay un chip. Escucha todo lo que hace.</u>. El chip W1 de Apple es el secreto mejor guardado de los AirPods. Su tecnología inalámbrica permite una conexión perfecta y un sonido impecable. Además consume tan poco que puedes escuchar música durante 5 horas con una sola carga. Lo nunca oído.. <u>24 horas de libertad.</u>. Los AirPods ofrecen hasta 5 horas de autonomía con una carga, algo inaudito hasta ahora. Pero es que además están siempre listos para regalarte los oídos gracias al estuche, que permite múltiples cargas adicionales para que disfrutes de más de 24 horas de uso. &iquest;Tienes prisa? Mete los auriculares en el estuche 15 minutos y dales caña durante 3 horas. Y si quieres saber cuánta batería te queda, acerca los AirPods al iPhone o pregúntale a Siri.. <u>Un sonido claramente superior.</u>. Disfruta de un sonido AAC de alta calidad en tus canciones favoritas, películas o lo que se te ocurra. Y cuando hables por teléfono o uses Siri, el doble micrófono con tecnología beamforming de los AirPods filtrará el ruido de fondo para que te oigan. Alto y claro.. <u>Configuración automática. Cambio inmediato de dispositivo.</u>. Los AirPods se conectan automáticamente a todos tus dispositivos Apple. Como además están enlazados a tu iPhone y tu Apple Watch a la vez, el sonido pasa de uno a otro sin interrupciones. Y si quieres escuchar algo en el Mac o en el iPad, solo tienes que elegir la opción AirPods en esos dispositivos.";;;;;;apple-airpods-con-microfono.jpg;apple-airpods-con-microfono.jpg;;;;;;;;;;;;;;;;
;25118;;1;61,56;;0;1;normal;;;;TOOQ;;8433281008410;1;1;1;kilogram;4,85;;;;;"SOPORTE MESA 2 MONITORES 17''-27'' NEGRO TOOQ";;"Soporte de sobremesa para pantallas planas (entre 17'' y 27'') y hasta un máximo de 6 kg de peso por brazo.. Fabricado en metal de alta resistencia, siempre con la calidad de los productos TooQ.. Especificaciones:. Soporte de sobremesa orientable para 2 pantallas (monitor / plasma / LCD / LED) de 17'' a 27''. VESA: 75x75 y 100x100 mm. Pantallas soportadas: 17'' - 27''. Carga Máxima: 6 kg (cada brazo). ángulo de Inclinación: -20º / +20º. ángulo máximo de giro: +10º/ -10º. ángulo máximo de rotación: +180º/ -180º. Brazo articulado con pistón de gas. Compatible con monitor curvo. Altura ajustable: 352-462 mm. Material: Aluminio. Color: Negro. Contenido del paquete:. 1 x Soporte. 1 x Kit montaje (No incluye herramientas). 1 x Manual de instalación";;;;;;tooq-db1727tn-b.jpg;tooq-db1727tn-b.jpg;;;;;;;;;;;;;;;;
;25119;;1;47,97;;0;1;normal;;;;TOOQ;;8433281008403;1;1;1;kilogram;2,75;;;;;"SOPORTE MESA ORIENTABLE 17''-32'' NEGRO TOOQ";;"Soporte de sobremesa para pantallas planas (entre 17'' y 32'') y hasta un máximo de 7 kg de peso.. Fabricado en metal de alta resistencia, siempre con la calidad de los productos TooQ.. Especificaciones:. Soporte de sobremesa orientable para pantalla (monitor / plasma / LCD / LED) de 17'' a 32''. VESA: 75x75 y 100x100 mm. Pantallas soportadas: 17'' - 32''. Carga Máxima: 7 kg. ángulo de Inclinación: -20º / +20º. ángulo máximo de giro: +45º/ -45º. ángulo máximo de rotación: +180º/ -180º. Brazo articulado con pistón de gas. Compatible con monitor curvo. Altura ajustable: 352-462 mm. Material: Aluminio. Color: Negro. Contenido del paquete:. 1 x Soporte. 1 x Kit montaje (No incluye herramientas). 1 x Manual de instalación";;;;;;soporte-tooq-db1732tn-b.jpg;soporte-tooq-db1732tn-b.jpg;;;;;;;;;;;;;;;;
;25120;;1;377,34;;0;1;normal;;;;TOOQ;;8433281008427;0;1;1;kilogram;40;;;;;"SOPORTE SUELO 37''-100'' NEGRO TOOQ";;"Soporte de suelo para pantallas de 37 - 100'' con dos bandejas. Soporta hasta un máximo de 150 kg.. Fabricado en metal de alta resistencia, siempre con la calidad de los productos TooQ.. Espeficaciones:. Soporte de suelo para pantallas (monitor / plasma / LCD / LED) de 37'' a 100'' con dos bandejas. VESA: 200x200, 300x200, 300x300, 400x200, 400x300, 400x400, 600x400, 800x400, 800x600 mm. Pantallas soportadas: 37'' - 100''. Carga Máxima: 150 kg. Altura máxima: 1838 mm. Altura mínima: 1688 mm. Medidas de la bandeja superior: 448x554 mm. Medidas de la bandeja inferior: 675x775 mm. Color: Negro. Contenido del paquete:. 1 x Soporte. 1 x Kit montaje (No incluye herramientas). 1 x Manual de instalación";;;;;;soporte-tooq-fs20100m-b.jpg;soporte-tooq-fs20100m-b.jpg;;;;;;;;;;;;;;;;
;25129;;1;20,15;;0;1;normal;;;;TRUST;;8,71344E+12;50;1;1;kilogram;0,1;;;;;"AURICULAR RENO HEADSET TRUST";;"Cómodo juego de auriculares circumaurales con control para el volumen incorporado en el cable y micrófono ajustable.. Características:. Pueden utilizarse con todos los PC y ordenadores portátiles.. Ideales para sesiones de juegos en línea, escuchar música y utilizar aplicaciones con voz como Skype.. Cómodo diseño con banda ajustable para la cabeza y almohadillas blandas y suaves con apariencia de cuero.. Micrófono de alta sensibilidad que ofrece una calidad de voz nítida.. Calidad de sonido excelente.. Control de volumen integrado en el cable.. Cable de 1,8 metros.";;;;;;auricular-trust-reno.jpg;auricular-trust-reno.jpg;;;;;;;;;;;;;;;;
;25130;;1;13,54;;0;1;normal;;;;TRUST;;8,71344E+12;1;1;1;kilogram;0,1;;;;;"AURICULAR QUASAR HEADSET TRUST";;"Juego de auriculares circumaurales de alta calidad con una suave banda acolchada ajustable para la cabeza y almohadillas blandas para obtener la máxima comodidad.. Características:. <ul>. <li>Pueden utilizarse con todos los PC y ordenadores portátiles.</li>. <li>Ideales para sesiones de juegos en línea, escuchar música y utilizar aplicaciones con voz como Skype.</li>. <li>Micrófono de alta sensibilidad y diseño flexible que ofrece una calidad de voz nítida.</li>. <li>Calidad de sonido excelente.</li>. <li>Control de volumen integrado en el cable.</li>. <li>Cable de 1,8 metros.</li>. </ul>";;;;;;auricular-trust-quasar.jpg;auricular-trust-quasar.jpg;;;;;;;;;;;;;;;;
;25163;;1;39,89;;0;1;normal;;;;TOOQ;;8433281008069;0;1;1;kilogram;4,85;;;;;"SOPORTE MESA 2 MONITORES 13''-32'' NEGRO TOOQ";;"Soporte de mesa orientable para 2 pantallas (entre 13'' y 32'') y hasta un máximo de 8 kg de peso.. Fabricado en metal de alta resistencia, siempre con la calidad de los productos TooQ.. Especificaciones:. Soporte de mesa orientable para 2 pantallas (monitor / plasma / LCD / LED) de 13'' a 32'' (depende de la instalación y del espacio disponible) con 3 puntos de giro. VESA: 75x75 y 100x100 mm. Pantallas soportadas: 13''-32''. Carga Máxima: 8 kg (cada brazo). ángulo de Inclinación: -45º / +45º. ángulo máximo de giro: -90º / +90º (depende del tamaño de la pantalla, de la instalación y del espacio disponible). ángulo máximo de rotación: -180º / +180º. Material: acero, plástico. Contenido del paquete:. 1 x Soporte. 1 x Kit montaje (No incluye herramientas). 1 x Manual de instalación";;;;;;soporte-tooq-db1232tn-b.jpg;soporte-tooq-db1232tn-b.jpg;;;;;;;;;;;;;;;;
;25288;;1;18,94;;0;1;normal;;;;COOLBOX;;8,43656E+12;1;1;1;kilogram;0,3;;;;;"AURICULARES ML BLUETOOTH COOLJET BLACK COOLBOX";;"Intra auriculares Bluetooth, con función manos libres, totalmente libres de cables, estuche de carga y transporte.. Características:. <u>Intra auriculares Bluetooth. </u>Manos libres. Sin cables. Estuche de carga. Uso conjunto o independiente. Cancelación activa de ruido. Micrófono de alta calidad. Bluetooth 4.2. Frecuencia y sensibilidad: 2.4GHz / -90dBm. Distancia: 10m. Batería: auriculares 50mAh c/u | estuche 300mAh. Hasta 3 horas de autonomía. Especificaciones:. Bluetooth 4.2. Frecuencia y sensibilidad: 2.4GHz / -90dBm. Distancia: 10m. Batería: auriculares 50mAh c/u | estuche 300mAh. Hasta 3 horas de autonomía";;;;;;coolbox-cooljet.jpg;coolbox-cooljet.jpg;;;;;;;;;;;;;;;;
;25403;;1;12,42;;0;1;normal;;;;TRUST;;8713439228786;0;1;1;kilogram;0,2;;;;;"RATON OPTICO WIRELESS RAVAN TRUST";;"Cómodo ratón inalámbrico de 6 botones con descanso para el pulgar ergonómico.. Características:. Descanso para el pulgar ergonómico que garantiza un agarre firme.. Botón de selección de velocidad (800/1200/1600 ppp). 2 botones para pulgar: Navegador hacia delante y hacia atrás.. Microrreceptor USB almacenable.. Alcance inalámbrico de 8 m.. Interruptor de encendido y apagado.";;;;;;trust-ravan-wireless.jpg;trust-ravan-wireless.jpg;;;;;;;;;;;;;;;;
;25408;;1;17,16;;0;1;normal;;;;TRUST;;8713439204032;0;1;1;kilogram;0,2;;;;;"RATON OPTICO WIRELESS SIANO NEGRO TRUST";;"Ratón óptico con tecnología Bluetooth.. Características:. Tecnología Bluetooth.. Cobertura inalámbrica de 10m.. Botón de ahorro de energía.. Botón de selección de velocidad (800/1200/1600 ppp).. Para usuarios diestros y zurdos.. Compatible con tabletas Android.";;;;;;trust-siano-wireless-black.jpg;trust-siano-wireless-black.jpg;;;;;;;;;;;;;;;;
;25491;;1;343,89;;0;1;normal;;;;HANNSPREE;;4711404022524;0;1;1;kilogram;5;;;;;"MONITOR HANNSPREE HT248PPB 10 POINT-TOUCH";;"Especificaciones:. Pantalla. Display size: 60,4cm / 23.8'' Diagonal White LED. Brightness(Typical): 250cd/m2 . Contrast(Typical): 3000:1 / 10,000,000:1 (active contrast). Pixel Pitch: 0.2745(H) x 0.2745(V) mm. Resolution (H x V): 1920 x1080. Aspect Ratio: 16:09. Response Time(Typical): 8ms (Typ. ) W/OD. View Angles LR,UD(CR>;10): H/V 178º/178º. Display Colors: 16.7M Colors. Especificaciones táctil. Touch Type: Projected Capacitive Type. Multi-Touch Point: 10 Point . OS Support: Windows 7/8/10. Touch Input: USB. Interfaz. Input 1: D-Sub x 1. Input 2: HDMI x 1. Input 3: DP x 1. Input 4: USB3.0 Hub x1 (Up streamx1,Down streamx2). Input 5: PC Audio in x 1. Salidas. Earphone: Yes. Speaker(Typical, Amplifier output): Yes,1.5wx2. Dimensiones. Dimension (W*D*H): 549.84 x 49.15 x 333.2 mm (W x D x H). Packing Dimension (W*D*H): 630 x 123 x 439 mm (W x D x H). Net Weight: 4.5Kgs. Gross Weight: 6.1Kgs. Tilt: 15º ~ 70º (+1/-3º) / Yes. Power Supply: Yes,Adaptor:12V 3A. Kensington Lock: Yes. VESA Mounting: Yes(100x100mm). Color. Bezel-Black Metal;Back cover-Black texture;Arm-Metal black";;;;;;hannspree-ht248ppb.jpg;hannspree-ht248ppb.jpg;;;;;;;;;;;;;;;;
;25502;;1;19,92;;0;1;normal;;;;COOLBOX;;8,43656E+12;0;1;1;kilogram;0,3;;;;;"AURICULARES BLUETOOTH COOLTWIN BLACK COOLBOX";;"Características:. Diseño ergonómico y fijación estable.. Tecnología Dual Driver.. Calidad de sonido excepcional.. Graves profundos.. Bluetooth v4.2.. Función manos libres.. Muy ligeros.. 4 horas de autonomía.. Controles de reproducción y volumen.. 3 tamaños de almohadilla intrauricular.. Especificaciones:. - Bluetooth: Bluetooth v4.2. - Frecuencia de transmisión: 2.4GHz. - Protocolos soportados: HFP, HSP, A2DP y AVRCP. - Alcance: 10 metros . - Rango de frecuencia: 20Hz ~ 20kHz. - Sensibilidad: 96.7dB +- 3dB. - Altavoz (diámetro): 2 x 8mm. - Impedancia: 16 Ohm +- 15%. - Batería: Interna, de litio, no extraíble, 80mAh. - Tiempo de carga: Menos de 2 horas. - Autonomía (reproducción): 4 horas (aprox.). - Autonomía (StandBy): 160 horas (aprox.). - Controles: Play/Pausa/Avance/Retroceso, Volumen+ y Volumen-. Contenido del embalaje:. - Intrauriculares CoolBox.. - Cable de carga.. - 3 tamaños de almohadilla intrauricular.. - Manual de uso.";;;;;;coolbox-cooltwin.jpg;coolbox-cooltwin.jpg;;;;;;;;;;;;;;;;
;25503;;1;12,36;;0;1;normal;;;;COOLBOX;;8,43656E+12;0;1;1;kilogram;0,3;;;;;"AURICULARES COOLJOIN BLACK COOLBOX";;"Características:. Diseño ergonómico y fijación estable.. Tecnología Dual Driver.. Calidad de sonido excepcional.. Graves profundos.. Función manos libres.. Cable 1.2 metros.. Conector jack 3.5mm.. Muy ligeros.. Controles de reproducción y volumen.. 3 tamaños de almohadilla intrauricular.. Especificaciones:. - Rango de frecuencia: 20Hz ~ 20kHz. - Sensibilidad: 96.7dB +- 3dB. - Altavoz (diámetro): 2 x 8mm. - Impedancia: 16 Ohm +- 15%. - Controles: Play/Pausa/Avance/Retroceso, Volumen+ y Volumen-. - Longitud del cable: 1.2 metros. Contenido del embalaje:. - Intrauriculares CoolBox.. - 3 tamaños de almohadilla intrauricular.. - Manual de uso.";;;;;;coolbox-cooljoin.jpg;coolbox-cooljoin.jpg;;;;;;;;;;;;;;;;
;25505;;1;48,6;;0;1;normal;;;;TRUST;;8,71E+12;0;1;1;kilogram;0,5;;;;;"KIT GAMING GXT 1180RW 4 EN 1 TRUST";;"Paquete para juegos 4 en 1 que contiene un teclado y un ratón con iluminación, cómodos auriculares multiplataforma y una alfombrilla de ratón antideslizante.. Características:. <ul>. <li>Todo lo que necesitas para crear un entorno de juego de lo más completo.</li>. <li>Funciona con todos los ordenadores de mesa y portátiles: se configura, se enchufa y se empieza a jugar inmediatamente.</li>. <li>Teclado de distribución normal, iluminado con onda de arco iris, con función anti efecto fantasma de 6 teclas y 12 teclas multimedia de acceso directo.</li>. <li>Cómodos auriculares con un sonido potente y diseño ajustable.</li>. <li>Ratón con un diseño de LED de colores, 6 botones, forma ambidiestra y cable trenzado de 1,8 m.</li>. <li>Alfombrilla para ratón (250 mm x 210 mm), con superficie optimizada y base de goma antideslizante.</li>. </ul>";;;;;;trust-gxt-1180rw.jpg;trust-gxt-1180rw.jpg;;;;;;;;;;;;;;;;
;25649;;1;89,5;;0;1;normal;;;;KEEPOUT;;8,4351E+12;1;1;1;kilogram;0,4;;;;;"AURICULAR GAMING 7.1 MULTIPLATAFORMA HXAIR KEEPOUT";;"Rendimiento sonoro profesional en juegos. Micrófono con la última tecnología ofreciendo una comunicación excelente con el máximo realismo en el juego.. Características:. <u>ENTRA DE LLENO EN EL JUEGO. </u>Los Headsets Keep Out ofrecen un rendimiento sonoro profesional en juegos. Incorporan las funciones más avanzadas para que los jugadores entren de lleno en el juego.. Su micrófono incorpora la última tecnología para la supresión de ruido y ofrece una excelente comunicación dando el máximo realismo a los juegos.. Sus altavoces de alta fidelidad producen un sonido de calidad 7.1 y crean un entorno acústico inigualable gracias a sus cómodos brazos con almohadillas suaves y adaptables.. Los Headsets Keep Out son la mejor elección para los más pro. Keep Out nos sorprende con un nuevo diseño gaming y elegante, cuidando hasta el mínimo detalle. Colores: Negro y plateado.. Especificaciones:. Headset:. &middot; Inalámbrico. &middot; Tiempo de funcionamiento: &ge;10h. &middot; Tiempo de carga: 5h. &middot; Batería interna: 3,7V / 1100mAh. &middot; Rango de frecuencia: 2.403-2.478 GHz. &middot; Rango de transmisión: 10M. &middot; Sensibilidad: -85dBm. &middot; Tamaño de altavoces: $40mm. &middot; Impedancia: 32&Omega;. &middot; Respuesta de frecuencia: 20 ~ 20 KHz.. Micrófono:. &middot; Tamaño: 6 * 2.7 mm. &middot; Sensibilidad: -58dB. &middot; Omni direccional. &middot; Respuesta de frecuencia: 100Hz-8KHz. Transmisor: . &middot; Alimentación: 5V Micro USB . &middot; Rango de frecuencia: 2.403-2.478 GHz . &middot; Rango de transmisión: 10M . &middot; Sensibilidad: -85dBm . &middot; Entrada óptica.";;;;;;keepout-hxair.jpg;keepout-hxair.jpg;;;;;;;;;;;;;;;;
;25650;;1;36,63;;0;1;normal;;;;KEEPOUT;;8,44E+12;10;1;1;kilogram;1,15;;;;;"TECLADO GAMING RGB MECHANICAL F105 KEEPOUT";;"El F105 es un teclado mecánico novedoso para gamers profesionales, con teclas totalmente mecánicas que actúan a una distancia óptima y ofrecen una velocidad y capacidad de respuesta inigualables.. Podrás grabar tus macros preferidas para que la experiencia del juego sea única, con sus 12 teclas multimedia obtendrás un control total de tu equipo.. Características:. <u>TECLADO MECáNICO con EFECTO RGB POR LíNEA.. </u>El F105 es un teclado mecánico novedoso, con teclas totalmente mecánicas que actúan a una distancia óptima y ofrecen una velocidad y capacidad de respuesta inigualables.. Podrás grabar tus macros preferidas para que la experiencia del juego sea única con sus 12 teclas multimedia obtendrás un control total de tu equipo.. Dispone de teclas de retroiluminación (RGB FLOW) lo que hace perfecto para situaciones de baja luminosidad. También contiene un puerto adicional USB.. Con el F105 obtendrás la capacidad de respuesta y control necesaria para dejar a tu enemigo K.O.. Especificaciones:. &middot; 88 teclas mecánicas.. &middot; Luz de fondo con efecto RGB por linea.. &middot; Doble Layout español e inglés.. &middot; 12 teclas con Funciones multimedia.. &middot; Teclas con función para crear Macros.. &middot; Función de bloqueo de tecla Windows.. &middot; Efectos de luz de fondo multimodo.. &middot; Sistema Antighosting.. &middot; La memoria interna puede guardar el estado actual del teclado.. &middot; Interruptores mecánicos con vida útil hasta 60 millones de pulsaciones.. &middot; Cable Usb 1.8m.";;;;;;keepout-f105.jpg;keepout-f105.jpg;;;;;;;;;;;;;;;;
;25651;;1;47,04;;0;1;normal;;;;KEEPOUT;;8,44E+12;1;1;1;kilogram;1,48;;;;;"TECLADO GAMING RGB MECHANICAL F115 KEEPOUT";;"El F115 es un teclado mecánico novedoso, con teclas totalmente mecánicas que actúan a una distancia óptima y ofrecen una velocidad y capacidad de respuesta inigualables.. Características:. <u>TECLADO MECáNICO con EFECTO RGB POR LíNEA.. </u>El F115 es un teclado mecánico novedoso, con teclas totalmente mecánicas que actúan a una distancia óptima y ofrecen una velocidad y capacidad de respuesta inigualables.. Podrás grabar tus macros preferidas para que la experiencia del juego sea único con sus 12 teclas multimedia, obtendrás un control total de tu equipo.. Dispone de teclas de retroiluminación (RGB FLOW) lo que hace perfecto para situaciones de baja luminosidad. También contiene un puerto adicional USB.. Con el F115 obtendrás la capacidad de respuesta y control necesaria para dejar a tu enemigo K.O.. Especificaciones:. &middot; 105 teclas mecánicas.. &middot; Luz de fondo con efecto RGB por linea.. &middot; Doble Layout español e inglés.. &middot; 12 teclas con Funciones multimedia.. &middot; Teclas con función para crear Macros.. &middot; Función de bloqueo de tecla Windows.. &middot; Efectos de luz de fondo multimodo.. &middot; Sistema Antighosting.. &middot; La memoria interna puede guardar el estado actual del teclado.. &middot; Interruptores mecánicos con vida útil hasta 60 millones de pulsaciones.. &middot; Cable Usb 1.8m.";;;;;;keepout-f115.jpg;keepout-f115.jpg;;;;;;;;;;;;;;;;
;25667;;1;14,04;;0;1;normal;;;;COOLBOX;;8,43656E+12;0;1;1;kilogram;0,12;;;;;"AURICULARES BLUETOOTH COOLSPORT II BLUE COOLBOX";;"Descripción:. - Bluetooth v4.2.. - Alcance 10 metros.. - Diámetro altavoz: 10mm.. - Batería interna de 100mAh.. - Más de 4 horas de autonomía.. - Controles de volumen y reproducción.. - Muy ligeros, sólo 18 g.. - Incluye cable de carga USB y manual.. - Suave tacto de goma.. - Dos pares de almohadillas.. Especificaciones:. - Bluetooth: Bluetooth v4.2. - Alcance: 10 metros.. - Rango de frecuencia: 20Hz ~ 20kHz.. - Altavoz (diámetro): 2 x 10mm.. - Impedancia: 32 Ohm (a 1kHz).. - Batería: Interna, de litio, no extraíble, 3.7V, 100mAh.. - Tiempo de carga: 2 horas (aprox.).. - Autonomía: Más de 4 horas.. - Controles: Play/Pausa, Volumen+ (Avance pista) y Volumen- (Pista anterior).. - Color: Azul.. - Peso: 18 gramos.. - Accesorios incluidos: Cable de carga USB, cable de audio y manual..";;;;;;coolbox-bluetooth-coolsport-ii.jpg;coolbox-bluetooth-coolsport-ii.jpg;;;;;;;;;;;;;;;;
;25741;;1;19,29;;0;1;normal;;;;TRUST;;8713439230932;0;1;1;kilogram;0,145;;;;;"RATON GAMING GXT101P GAV TRUST";;"Preciso ratón para jugar a juegos de ordenador de 4800 ppp con 6 botones y atractiva iluminación.. Características:. Botón de selección de velocidad (600-4800 ppp).. Diseño ergonómico y cómodo.. Cable trenzado de 1,8 m.";;;;;;trust-gxt-101p-gav.jpg;trust-gxt-101p-gav.jpg;;;;;;;;;;;;;;;;
